event_id,event_type,effective_year,district_name,parent_district,child_district,reason_code,reason_description
400d6263-6b00-41e7-abaa-4f7c8e8392db,SPLIT,1995,Muktsar,Faridkot,Muktsar,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
5dadff71-f64a-495b-a3ec-9573beb44db6,SPLIT,1983,Kokrajhar,Goalpara,Kokrajhar,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
7b549eee-82e4-43e1-b7ba-069dce690d39,SPLIT,1990,,Greater Bombay,,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
848b366b-26b4-449c-b5f8-ba1270f2b40e,SPLIT,1987,Hardwar,,Hardwar,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
99245661-93c0-49ab-a6f5-51a34e1cdc59,SPLIT,1991,,Rohtas,,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
b30a352d-8541-4876-bd68-3911f1dfdce9,SPLIT,2004,Barpeta,,Barpeta,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
c924ea3f-20a3-4d25-824f-dba4e19fe0fe,SPLIT,2022,,Kurnool,,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
e1763b6b-3064-48b5-8c6f-558f69e79055,SPLIT,2022,,Chittoor,,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
e1be6f42-fd1e-4b5c-b5c8-1194508c6ce6,SPLIT,1981,Kanpur Dehat,Kanpur,Kanpur Dehat,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
f305d4b8-64c0-4e67-9574-ca95f96a435e,SPLIT,2018,Niwari,Tikamgarh,Niwari,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
0f9be379-bc69-4765-bd3c-2364589d8c2e,SPLIT,1989,,North Arcot,,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
27cc7433-7629-4c74-ac4a-dbc583496b1d,NEW_DISTRICT,2016,,,,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
341c7196-ae0c-473b-803a-3277247790d8,NEW_DISTRICT,1981,Dumka,Santhal Parganas,Dumka,NO_SOURCE_GEOMETRY,Source district lacks physical geometry at event time.
35bb2d79-25ef-4b00-b2f3-24840fbd845d,SPLIT,2020,,Nagapattinam,,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
4107b688-d565-42e4-b638-a62774f62f3c,SPLIT,1994,Pakaur,Sahibganj,Pakaur,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
44a1a0d5-40ba-4340-9606-5d9952312de0,SPLIT,2012,,Tirap,,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
95f8da4b-c44e-4e95-9837-dd506d44f844,SPLIT,1960,,Kangra,,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
c8c0b7dd-a1a3-4b80-b226-a1e8e6ca648b,NEW_DISTRICT,1988,Mau,Azamgarh,Mau,NO_SOURCE_GEOMETRY,Source district lacks physical geometry at event time.
c937a010-63af-492f-9e33-79670c456840,SPLIT,1996,,Madurai,,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
d1558dd1-5739-43b5-853a-99dc02ee52ff,SPLIT,2019,Khawzawl,Champhai,Khawzawl,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
da8778f4-c6bc-4530-8bb5-edf7c2151397,SPLIT,1999,,Parbhani,,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
0615b53c-a108-4335-a439-b3f7515a7614,NEW_DISTRICT,1966,Kulu,Kangra,Kulu,NO_SOURCE_GEOMETRY,Source district lacks physical geometry at event time.
0b440c4d-9646-4b09-9862-97c102098b57,SPLIT,1974,,Manipur Central,,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
16063ddc-5dd0-4d33-b3a4-d92eb8dbe0cd,SPLIT,1982,,Morena,,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
2e3d0a9e-8906-4d34-8624-e98bc4df0ef1,SPLIT,1994,Sheohar,Sitamarhi,Sheohar,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
3febe5e7-c3ef-495a-8a90-3e5358dd88e5,SPLIT,1991,,Bhojpur,,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
440e6086-4e3d-47d1-946d-d241dca55a14,SPLIT,2001,Jamtara,Dumka,Jamtara,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
5c80a317-8eee-4746-b29a-67976879923c,SPLIT,1988,,Azamgarh,,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
5d1e0ec0-6c8d-4872-a956-613795d87b74,SPLIT,2012,,West Tripura,,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
6e9a9874-482a-4ea7-abf0-1ba16356720b,NEW_DISTRICT,1980,West Siang,Siang,West Siang,NO_INTERSECTION,Geometries exist but do not spatially intersect.
964662ec-35f2-46bf-a3d6-d0770ea6b089,NEW_DISTRICT,1992,Uttar Dinajpur,West Dinajpur,Uttar Dinajpur,NO_SOURCE_GEOMETRY,Source district lacks physical geometry at event time.
edf34e4b-056d-4ac3-902a-5205d38cfbb6,NEW_DISTRICT,1956,Baramulla,Jammu and Kashmir,Baramulla,NO_SOURCE_GEOMETRY,Source district lacks physical geometry at event time.
6501094d-ae4a-47ba-85da-8fa136a0d6fa,NEW_DISTRICT,2016,Mahabubabad,,Mahabubabad,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
9887859d-7ce3-44ff-a1c6-156ebdb680f7,SPLIT,1997,Kannauj,Farrukhabad,Kannauj,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
b1a89ee2-f50c-4725-b993-78248afd86b4,SPLIT,2017,Jhargram,Paschim Medinipur,Jhargram,MISSING_LINEAGE,Event lacks documented district relationships in lineage.
